Image_ID,GT_Connected,GT_Branches,GT_Endpoints,UNetPP_Connected,UNetPP_Branches,UNetPP_Endpoints,DeepLabV3_Connected,DeepLabV3_Branches,DeepLabV3_Endpoints
501,18,18337,85,15,3211,59,4,730,33
502,19,15445,86,19,2756,67,11,859,43
503,20,20025,95,11,3940,50,7,936,36
504,23,16738,77,14,3084,53,6,712,28
505,26,14954,75,24,2355,63,9,727,39
506,23,19844,99,12,3640,76,3,1010,23
507,19,18558,111,14,3516,72,4,860,29
508,34,12979,102,21,2641,58,9,769,31
509,19,19182,74,15,3466,60,4,874,24
510,25,17045,93,14,3109,54,4,645,26
